AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
ENSMUSG00000000001	5377.55285717874	6014.6852689306	5845.00004713969	5994.33566089298	6567.99164701655	5920.10002751008
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1003.03782018235	989.78268698698	1047.61574918972	1311.53280243776	1319.17501679208	1266.97269335328
ENSMUSG00000000031	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0
ENSMUSG00000000049	47.6302875505585	51.941948588238	32.8587965613012	16.3125970452458	21.1529521643045	39.964185553343
ENSMUSG00000000056	869.486229599411	831.071177411808	863.026627330646	732.979360566376	751.891299658461	688.032059391338
ENSMUSG00000000058	7600.29960953813	9189.87734837085	7885.1447395193	6915.45364071452	7211.23369237654	6225.772041337
ENSMUSG00000000078	4557.56476954363	4845.99142569524	4624.39239840665	6152.02409899702	6681.44839044328	5982.74658864775
ENSMUSG00000000085	300.72456061333	351.089096939016	321.822919262156	218.588800406293	222.105997725197	293.790769473224
ENSMUSG00000000088	1691.34217164826	1584.22943194126	1813.99885722242	1639.95975628204	1519.16656452732	1687.13669822491
ENSMUSG00000000093	4.66963603436848	0	0	1.08750646968305	0	0
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0
ENSMUSG00000000127	848.005903841316	986.897023176522	1035.05209168099	985.280861532844	1024.95668214312	855.449593466153
ENSMUSG00000000131	2121.88261401704	1955.51817555348	2056.57409066026	2272.88852163758	2219.13698160067	2183.98873483404
ENSMUSG00000000134	613.590174916018	668.51211608936	669.739588734756	840.642501064999	858.617558305634	914.855815234636
ENSMUSG00000000142	0	0	0	0	0	0
ENSMUSG00000000148	294.187070165214	252.976527383456	305.393520981505	264.264072132981	255.758421622955	273.268620135021
ENSMUSG00000000149	685.502569845293	684.864211015286	635.914356980476	673.166504733809	717.277377935053	690.192285637464
ENSMUSG00000000154	317.535250337056	317.423019150343	297.662039437669	117.45069872577	176.915599919638	181.459004674638
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	8.40534486186326	2.88566381045767	0.966435192979446	1.08750646968305	1.92299565130041	0
ENSMUSG00000000167	14.0089081031054	14.4283190522883	12.5636575087328	8.70005175746441	16.3454630360535	7.56079186144327
ENSMUSG00000000168	1420.50328165489	1466.87910364931	1461.25001178492	1400.70833295177	1400.90233197235	1459.23282925855
ENSMUSG00000000171	2219.0110435319	1964.17516698485	2209.27085115101	1817.22331084038	1874.9207600179	2042.49391571275
ENSMUSG00000000182	0	0	0	1.08750646968305	0	0
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	14657.0535846758	15166.0870998287	14171.8056698506	10197.548166218	10331.2941366115	9798.78625243048
ENSMUSG00000000194	842.402340600073	792.595659939039	879.456025611296	844.992526943731	831.695619187428	788.482579836227
ENSMUSG00000000197	17.7446169306002	23.0853104836613	38.6574077191779	10.8750646968305	1.92299565130041	10.8011312306332
ENSMUSG00000000202	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	0	0	3.24033936918997
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	2.80178162062109	12.5045431786499	21.2615742455478	28.2751682117593	22.1144499899547	12.9613574767599
ENSMUSG00000000244	1.86785441374739	6.73321555773456	0.966435192979446	1.08750646968305	7.69198260520164	0
ENSMUSG00000000247	0	0	0	0	0	0
ENSMUSG00000000248	0	6.73321555773456	2.89930557893834	0	0	0
ENSMUSG00000000253	1.86785441374739	0.961887936819223	4.83217596489723	2.1750129393661	3.84599130260082	2.16022624612665
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	410.927971024426	421.306916326819	373.043984490066	475.240327251493	438.443008496494	472.009434778673
ENSMUSG00000000275	3357.46830871094	3181.92529499799	3191.16900721813	3239.68177318581	3121.02194206057	3238.17914294385
ENSMUSG00000000276	565.025960158586	575.208986217895	543.136578454449	458.927730206248	486.517899779004	483.890679132369
ENSMUSG00000000278	4763.02875505585	4782.50682186517	4873.73267819535	4782.85345366606	4874.79397604654	4815.1443026163
ENSMUSG00000000282	729.397148568356	741.615599287621	744.155098594174	927.643018639643	783.620727904918	981.822828864562
ENSMUSG00000000290	32.6874522405793	36.5517415991305	18.3622686666095	36.9752199692237	20.1914543386543	31.3232805688364
ENSMUSG00000000295	580.902722675439	479.982080472792	437.795142419689	458.927730206248	440.366004147794	474.169661024799
ENSMUSG00000000296	1212.23751452206	1239.87355055998	1065.01158266335	1164.71942903055	1107.64549514904	1215.12726344624
ENSMUSG00000000301	54.1677779986743	41.3611812832266	30.9259261753423	45.6752717266881	74.996830400716	44.2846380455963
ENSMUSG00000000303	10030.3782018235	10009.4058705408	9355.09266804104	10815.2518409979	11463.9385752274	10897.2612985859
ENSMUSG00000000305	0	2.88566381045767	0	0	0	0
ENSMUSG00000000308	4.66963603436848	5.77132762091534	3.86574077191779	0	3.84599130260082	2.16022624612665
ENSMUSG00000000317	0	0.961887936819223	0.966435192979446	0	0	5.40056561531662
ENSMUSG00000000318	0	0	2.89930557893834	0	3.84599130260082	0
ENSMUSG00000000320	0	0	0	0	0	0
ENSMUSG00000000325	113.005192031717	112.540888607849	124.670139894349	116.363192256086	101.918769518922	105.851086060206
ENSMUSG00000000326	1498.95316703228	1373.57597377785	1413.89468732893	1426.80848822416	1342.25096460769	1528.3600691346
ENSMUSG00000000339	924.587934804959	923.412419346454	902.650470242803	920.030473351861	966.305314778457	860.85015908147
ENSMUSG00000000340	1212.23751452206	1335.10045630508	1213.84260238218	931.993044518375	1042.26364300482	908.375136496256
ENSMUSG00000000346	5581.1489882772	5762.67062948396	6173.5880127527	5930.17277918168	6349.73164059396	6314.34131742819
ENSMUSG00000000355	437.07793281689	553.085563671053	485.150466875682	429.565055524805	441.327501973444	378.039593072164
ENSMUSG00000000359	0	0	0	0	0	0
ENSMUSG00000000365	0	0	0	0	0	0
ENSMUSG00000000374	1250.52853000388	1335.10045630508	1250.5671397154	1253.89495954456	1239.37069726311	1235.64941278444
ENSMUSG00000000378	1141.25904679966	1055.19106669069	1147.1585740666	1156.01937727308	1023.99518431747	1138.43923170874
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	2146.16472139575	1874.71958886066	2099.09723915136	2211.98815933533	1972.03204040857	2232.59382537189
ENSMUSG00000000385	4299.80086044649	4182.28874928998	4125.71183882926	2283.76358633441	2480.66439017753	2439.97554500005
ENSMUSG00000000386	29.8856706199583	22.1234225468421	25.1273150174656	32.6251940904915	22.1144499899547	29.1630543227098
ENSMUSG00000000392	2.80178162062109	0	0	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0
ENSMUSG00000000399	2630.8729417632	2643.26805037922	2891.5740973945	2422.96441445384	2435.47399237197	2425.93407440023
ENSMUSG00000000402	0	0	0	0	0	0
ENSMUSG00000000409	47.6302875505585	56.7513882723341	63.7847227366435	54.3753234841526	67.3048477955144	51.8454299070396
ENSMUSG00000000411	0	0	0	0	0	0
ENSMUSG00000000416	2.80178162062109	0.961887936819223	0.966435192979446	0	0	0
ENSMUSG00000000420	3697.41781201296	3994.72060161023	3957.55211525083	4570.78969207786	4754.60674784027	4392.82007149854
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	2374.97688707981	2230.61812548378	2242.12964771232	2222.86322403216	2265.28887723188	2253.11597471009
ENSMUSG00000000440	4000.94415424691	4288.09642234009	4196.26160791676	3394.1076918808	3620.03931357302	3295.4251384662
ENSMUSG00000000441	3114.64723492377	2958.76729365593	2775.60187423697	2800.32915943386	2886.41647260192	2800.7333281032
ENSMUSG00000000486	18.6785441374739	15.3902069891076	7.73148154383557	13.0500776361966	14.4224673847531	5.40056561531662
ENSMUSG00000000489	143.824789858549	163.520949259268	131.435186245205	182.701086906753	167.300621663136	145.815271613549
ENSMUSG00000000530	0.933927206873696	0	5.79861115787668	7.61254528778136	8.65348043085185	0
